#http://mips.as.arizona.edu/~cnaw/sun.html -- https://ui.adsabs.harvard.edu/abs/2018ApJS..236...47W/abstract
#filter,vegamag,AB,ST,Apparent(vegamag),Apparent(AB),Apparent(ST),ABmagofVega,STmagofVega,PivotWavelength(μm),FilterReference
NIC2_F110W,3.82,4.52,6.08,-27.75,-27.05,-25.49,0.704,2.265,1.1235,ftp://ftp.stsci.edu/cdbs/comp/nicmos
NIC2_F160W,3.35,4.64,6.97,-28.22,-26.93,-24.60,1.286,3.618,1.6030,ftp://ftp.stsci.edu/cdbs/comp/nicmos
NIC3_F110W,3.82,4.52,6.08,-27.75,-27.05,-25.50,0.701,2.255,1.1200,ftp://ftp.stsci.edu/cdbs/comp/nicmos
NIC3_F160W,3.35,4.64,6.97,-28.22,-26.93,-24.60,1.287,3.621,1.6042,ftp://ftp.stsci.edu/cdbs/comp/nicmos
NIRCAM_F070W,4.29,4.56,5.10,-27.28,-27.02,-26.47,0.264,0.811,0.7046,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F090W,4.02,4.50,5.59,-27.56,-27.07,-25.98,0.488,1.573,0.9025,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F115W,3.77,4.53,6.15,-27.80,-27.05,-25.43,0.753,2.373,1.1543,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F140M,3.48,4.56,6.60,-28.09,-27.02,-24.97,1.079,3.126,1.4053,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F150W,3.41,4.59,6.78,-28.16,-26.98,-24.79,1.182,3.371,1.5007,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F150W2,3.50,4.70,7.11,-28.07,-26.87,-24.46,1.203,3.610,1.6588,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F162M,3.32,4.65,7.01,-28.25,-26.93,-24.56,1.328,3.693,1.6272,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F164N,3.29,4.66,7.05,-28.28,-26.91,-24.53,1.368,3.756,1.6445,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F182M,3.28,4.81,7.45,-28.29,-26.76,-24.12,1.534,4.172,1.8452,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F187N,3.25,4.85,7.52,-28.33,-26.72,-24.05,1.600,4.272,1.8739,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F200W,3.28,4.93,7.73,-28.29,-26.64,-23.84,1.652,4.453,1.9886,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F210M,3.27,5.03,7.95,-28.30,-26.54,-23.63,1.757,4.671,2.0955,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F212N,3.28,5.05,7.99,-28.30,-26.52,-23.58,1.778,4.719,2.1213,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F250M,3.27,5.37,8.67,-28.30,-26.20,-22.90,2.093,5.393,2.5032,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
